#version, mean, sd, min, max
"568_821_298_1356" 98 0 98 98 
"569_821_298_1357" 97.01 0.9999499987499388 96 98 
"570_824_298_1360" 108 0 108 108 
"571_824_298_1363" 101 0 101 101 
"572_824_298_1364" 101.17 0.5577633906953733 101 103 
"573_826_298_1364" 103.01 0.9999499987499388 102 104 
"574_827_299_1364" 107 0 107 107 
"575_828_299_1365" 102 0 102 102 
"576_829_299_1367" 103 0 103 103 
"577_829_299_1368" 99 0 99 99 
"578_829_299_1369" 107.12 0.4749736834815173 107 109 
"579_829_299_1370" 103.19 1.282146637479504 102 106 
"580_829_299_1371" 103 0 103 103 
"581_829_299_1372" 105 0 105 105 
"582_829_299_1375" 232.38 0.7846018098373178 232 234 
"583_829_299_1376" 233.745 0.6402929017254523 233 235 
"584_829_299_1378" 363.25 2.222048604328897 361 367 
"585_829_299_1379" 367.225 3.4430182979473103 363 373 
"586_829_299_1380" 358.04 0.27999999999999997 358 360 
"587_829_299_1381" 361 0 361 361 
"588_829_299_1382" 361.175 0.5868347297152728 360 362 

"590_829_299_1384" 359.485 2.2868701318614484 356 363 

"592_829_299_1386" 357.69 1.6167560112769013 356 360 
"593_829_299_1387" 228 0 228 228 
"594_829_299_1388" 354.895 1.2585606858630232 354 359 
"595_829_299_1389" 235.01 0.09949874371066174 235 236 
"596_829_299_1390" 231.34 0.6437390775772422 231 234 
"597_831_299_1390" 233.89 0.9939315871829412 233 235 
"598_831_299_1391" 103.05 0.3122498999199198 103 105 
"599_831_299_1392" 360.26 0.6726068688320119 360 362 
"600_831_299_1393" 234.49 1.2368912644206045 232 236 
"601_832_299_1393" 363.875 0.9896337706444743 363 366 
"602_833_299_1394" 230.205 1.312621422954844 228 232 
"603_834_299_1394" 335.17 0.6489221833163046 334 338 
"604_834_299_1395" 232.005 0.8859881489049374 231 233 
"605_834_299_1396" 238.63 0.9072485877641235 238 240 
"606_835_299_1396" 359 1 358 360 
"607_835_299_1398" 230.665 0.6186881282197023 230 233 
"608_835_299_1400" 231.29 0.4537620521815361 231 232 
"609_836_299_1400" 208.3 0.7141428428542834 207 210 
"616_836_299_1409" 207.4 0.6244997998398416 207 209 
"617_836_300_1409" 333.105 0.6511336268386082 331 334 
"618_836_300_1410" 209 0 209 209 
"619_836_300_1411" 210.585 0.8618439533929578 210 212 
"620_836_301_1411" 336.23 0.870114934936759 335 338 
"621_836_301_1412" 337.65 1.177921898938969 333 339 
"622_836_301_1417" 80.255 0.4358612164439506 80 81 
"623_836_301_1418" 209.365 0.4814301610825829 209 210 
"624_836_301_1419" 209.93 0.3675595189897824 208 210 
"625_836_301_1420" 337.22 1.2048236385463238 336 339 
"626_836_301_1421" 333.085 0.6839407869106783 331 334 
"627_836_301_1424" 334.03 0.8769834662067482 333 335 
"628_836_301_1427" 312.47 0.5648893696999454 311 313 
"629_836_301_1428" 211.49 0.6479969135728976 211 214 


"632_836_301_1431" 337.48 0.8997777503361615 335 339 
"633_836_302_1434" 209.345 0.4753682782853741 209 210 
"634_837_302_1436" 319.17 0.7817288532477241 318 322 
"635_837_302_1437" 191 0 191 191 
"636_837_302_1438" 313.645 0.8538003279455938 313 315 
"637_837_302_1439" 193.32 0.6144916598294885 193 196 
"638_838_302_1442" 192.665 0.687586358212552 192 194 
"639_838_302_1443" 319.81 1.2263360061581814 318 323 
"640_838_302_1444" 193.41 0.8496469855181029 193 196 
"641_839_302_1444" 335.28 2.005392729616821 333 338 
"642_839_303_1444" 336.39 2.601518787170298 332 340 
"643_839_303_1445" 333.615 0.5447705939200473 331 334 
"644_839_303_1446" 209 0 209 209 
"645_839_303_1447" 333.15 0.3570714214271426 333 334 
"646_841_304_1449" 209.08 0.3919183588453095 209 211 
"647_841_304_1455" 209.605 0.8596365511075008 209 211 
"648_841_305_1456" 339.95 2.933854120436122 336 344 
"649_841_305_1457" 81 0 81 81 
"650_841_305_1458" 337.925 1.2725466592624448 335 340 
"651_841_305_1459" 335.715 1.1462002442854402 333 337 
"652_841_305_1460" 333.39 0.6617401302626285 333 335 

"654_842_306_1461" 334.13 1.353920233987219 332 337 
"655_842_306_1463" 209.13 0.4930517214248429 209 211 
"656_842_306_1465" 211.25 0.4330127018922193 211 212 
"657_842_306_1466" 339.175 2.42371099762327 335 342 
"658_842_307_1466" 339.06 1.369817506093423 337 341 
"659_843_307_1472" 207.44 0.4963869458396333 207 208 
"660_843_307_1473" 210.12 0.4749736834815167 210 212 
"661_843_307_1474" 335.51 0.871722432887902 335 337 
"662_843_307_1475" 210.04 0.28000000000000014 210 212 
"663_843_307_1477" 211.5 0.8660254037844386 211 213 
"664_843_307_1480" 338.58 0.7896834808959865 337 339 
"665_843_307_1481" 211 0 211 211 
"666_843_307_1486" 336.755 2.8204565233309298 334 342 

"668_843_307_1488" 212.725 0.6398241946034857 211 213 

"670_843_308_1489" 210.295 0.49797088268291195 210 212 

"672_843_308_1491" 210.42 0.7025667228100108 210 213 
"673_843_308_1492" 333.66 1.0021975853094036 333 337 
"674_843_308_1493" 331.825 0.7101936355670877 331 334 
"675_843_308_1494" 212 0 212 212 
"676_843_308_1495" 335.49 1.004937809021037 333 337 
"677_843_308_1496" 209.755 0.8276321646722027 209 211 
"678_843_308_1497" 209.13 0.4930517214248427 209 211 
"679_843_308_1498" 335.52 2.0975223479143223 333 338 
"680_843_308_1501" 209.07 0.3675595189897821 209 211 
"681_843_309_1503" 337.5 0.8660254037844386 337 339 
"682_843_309_1504" 205.365 0.48143016108258174 205 206 
"683_844_309_1504" 207.98 0.8657944328765347 207 209 
"684_844_310_1504" 338.82 1.8021098745637074 336 340 
"685_844_310_1505" 335.68 0.9526804291051612 334 338 
"686_844_310_1507" 334.26 1.905885620912228 331 338 
"687_845_310_1507" 332.84 1.2587295182047618 331 334 
"688_845_311_1507" 208.73 0.6686553671361652 207 209 
"689_845_311_1508" 209.12 0.4749736834815175 209 211 
"690_845_311_1509" 211.5 0.8660254037844386 211 213 
"691_845_312_1509" 209.53 3.4262370028939912 207 228 
"692_845_312_1510" 334.46 1.8650469162999614 332 339 
"693_846_312_1510" 355.56 0.7914543574963763 354 358 
"694_847_312_1516" 226 0 226 226 
"695_848_312_1516" 229.25 0.8046738469715541 228 231 
"696_848_313_1516" 99 0 99 99 
"697_848_313_1517" 353.92 1.7758378304338471 352 358 
"698_849_313_1517" 228.66 1.0219589032832967 228 232 
"699_849_313_1518" 352.41 0.8074032449773794 352 354 
"700_849_313_1519" 352.165 1.505913344120437 350 356 
"701_849_313_1520" 355.61 3.012955359775518 351 362 
"702_849_313_1521" 100 0 100 100 
"703_849_313_1522" 100.12 0.47497368348151753 100 102 
"704_849_313_1523" 99.14 0.5102940328869215 99 101 
"705_850_313_1523" 100.25 0.4330127018922193 100 101 
"706_850_313_1524" 100.1 0.4358898943540668 100 102 
"707_850_313_1525" 100.18 0.9836666101886327 99 101 
"708_851_313_1525" 99.98 0.9997999799960012 99 101 
"723_851_315_1539" 99 0 99 99 
"725_851_316_" 98.1 0.9949874371066194 97 99 
"726_851_316_" 97.99 0.9999499987499388 97 99 
"727_851_316_" 97.98 0.9997999799960012 97 99 
"728_851_316_" 355.4 1.6492422502470607 352 358 
"729_851_316_" 354.06 1.8183509012289143 351 358 
"730_851_316_" 353.765 1.15315870546946 352 357 
"731_851_316_" 355.27 1.2637642185154672 353 357 
"732_851_316_" 353.215 1.272310889680664 351 355 
"733_851_316_" 228.48 1.824719156473128 226 232 
"734_852_316_" 352.845 2.247437429607327 350 357 
"735_852_316_" 353.63 1.5884268947609792 351 357 
"736_852_316_" 352.245 0.8688929738466068 350 353 
"737_852_316_" 228.895 0.3660259553638232 227 229 




























"_869_319_1575" 402.27 1.7167119735121583 400 406 
"771_870_319_1575" 400.36 1.2411285187280148 399 403 
"772_870_319_1576" 256.985 1.650689249980141 255 262 
"773_870_319_1577" 254.165 1.143579905384837 253 256 
"774_870_319_1578" 399.125 1.4315638302220408 397 402 
"775_870_319_1579" 255.345 1.7192949136201163 253 260 
"776_870_319_1580" 404.19 2.0961631615883345 400 409 
"777_870_319_1581" 405.525 2.611393306263921 400 410 
"778_870_319_1582" 400.52 1.3600000000000037 399 402 
"779_870_319_1583" 404.36 2.3495531490051436 401 411 
"780_870_319_1584" 405.575 2.228087745130335 401 410 
"781_871_319_1584" 401.02 1.8082035283673157 398 406 
"782_871_319_1585" 256.895 1.3281472056967214 255 260 
"783_872_319_1585" 403.42 2.591061558512264 400 409 
"784_872_319_1586" 261.355 4.683905955503367 256 271 
"785_872_319_1587" 405.335 1.425754186386979 404 410 
"786_874_319_1587" 250.695 1.3645420477215076 249 255 
"787_875_319_1587" 396.605 2.803386345119062 393 404 
